Sample	R1	R2
2007-01962	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2007-01962_M_R_N_F_S15_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2007-01962_M_R_N_F_S15_R2_001.fastq.gz
2008-01542	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2008-01542_M_R_N_F_S53_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2008-01542_M_R_N_F_S53_R2_001.fastq.gz
2009-00042	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-00042_M_R_N_F_S19_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-00042_M_R_N_F_S19_R2_001.fastq.gz
2009-00172	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-00172_M_R_N_F_S18_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-00172_M_R_N_F_S18_R2_001.fastq.gz
2009-01772	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-01772_M_R_N_F_S21_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-01772_M_R_N_F_S21_R2_001.fastq.gz
2009-02082	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-02082_M_R_N_F_S22_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-02082_M_R_N_F_S22_R2_001.fastq.gz
2009-02142	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-02142_M_R_N_F_S20_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-02142_M_R_N_F_S20_R2_001.fastq.gz
2009-02402	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-02402_M_R_N_F_S48_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-02402_M_R_N_F_S48_R2_001.fastq.gz
2009-02881	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-02881_M_R_N_F_S44_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2009-02881_M_R_N_F_S44_R2_001.fastq.gz
92-00861	s3://fh-pi-meshinchi-s/SR/SWOG/1030_92-00861_M_R_N_F_S10_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_92-00861_M_R_N_F_S10_R2_001.fastq.gz
95-03892	s3://fh-pi-meshinchi-s/SR/SWOG/1030_95-03892_M_R_N_F_S4_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_95-03892_M_R_N_F_S4_R2_001.fastq.gz
96-00571	s3://fh-pi-meshinchi-s/SR/SWOG/1030_96-00571_M_R_N_F_S12_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_96-00571_M_R_N_F_S12_R2_001.fastq.gz
2007-02362	s3://fh-pi-meshinchi-s/SR/SWOG/1100_2007-02362_M_R_N_F_S25_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1100_2007-02362_M_R_N_F_S25_R2_001.fastq.gz
2005-03982	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2005-03982_M_R_N_F_S67_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2005-03982_M_R_N_F_S67_R2_001.fastq.gz
2005-04251	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2005-04251_M_R_N_F_S71_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2005-04251_M_R_N_F_S71_R2_001.fastq.gz
2005-04351	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2005-04351_M_R_N_F_S69_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2005-04351_M_R_N_F_S69_R2_001.fastq.gz
2005-04552	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2005-04552_M_R_N_F_S74_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2005-04552_M_R_N_F_S74_R2_001.fastq.gz
2005-05511	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2005-05511_M_R_N_F_S72_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2005-05511_M_R_N_F_S72_R2_001.fastq.gz
2007-01012	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2007-01012_M_R_N_F_S93_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2007-01012_M_R_N_F_S93_R2_001.fastq.gz
2007-01662	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2007-01662_M_R_N_F_S90_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2007-01662_M_R_N_F_S90_R2_001.fastq.gz
2007-02152	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2007-02152_M_R_N_F_S86_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2007-02152_M_R_N_F_S86_R2_001.fastq.gz
2007-03492	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2007-03492_M_R_N_F_S80_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2007-03492_M_R_N_F_S80_R2_001.fastq.gz
2007-03721	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2007-03721_M_R_N_F_S91_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2007-03721_M_R_N_F_S91_R2_001.fastq.gz
2008-00042	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2008-00042_M_R_N_F_S85_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2008-00042_M_R_N_F_S85_R2_001.fastq.gz
2008-01392	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2008-01392_M_R_N_F_S83_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2008-01392_M_R_N_F_S83_R2_001.fastq.gz
2009-00752	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2009-00752_M_R_N_F_S51_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_2009-00752_M_R_N_F_S51_R2_001.fastq.gz
92-00052	s3://fh-pi-meshinchi-s/SR/SWOG/2000_92-00052_M_R_N_F_S77_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_92-00052_M_R_N_F_S77_R2_001.fastq.gz
96-03191	s3://fh-pi-meshinchi-s/SR/SWOG/2000_96-03191_M_R_N_F_S78_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_96-03191_M_R_N_F_S78_R2_001.fastq.gz
98-01112	s3://fh-pi-meshinchi-s/SR/SWOG/2000_98-01112_M_R_N_F_S76_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2000_98-01112_M_R_N_F_S76_R2_001.fastq.gz
2002-00482	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2002-00482_M_R_N_F_S95_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2002-00482_M_R_N_F_S95_R2_001.fastq.gz
2005-04502	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2005-04502_M_R_N_F_S75_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2005-04502_M_R_N_F_S75_R2_001.fastq.gz
2007-01921	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2007-01921_M_R_N_F_S89_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2007-01921_M_R_N_F_S89_R2_001.fastq.gz
2008-02411	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2008-02411_M_R_N_F_S88_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2008-02411_M_R_N_F_S88_R2_001.fastq.gz
2008-02462	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2008-02462_M_R_N_F_S87_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2008-02462_M_R_N_F_S87_R2_001.fastq.gz
2008-03412	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2008-03412_M_R_N_F_S66_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2020_2008-03412_M_R_N_F_S66_R2_001.fastq.gz
93-07641	s3://fh-pi-meshinchi-s/SR/SWOG/2020_93-07641_M_R_N_F_S68_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2020_93-07641_M_R_N_F_S68_R2_001.fastq.gz
2005-01002	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2005-01002_M_R_N_F_S73_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2005-01002_M_R_N_F_S73_R2_001.fastq.gz
2005-04761	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2005-04761_M_R_N_F_S70_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2005-04761_M_R_N_F_S70_R2_001.fastq.gz
2006-01352	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2006-01352_M_R_N_F_S94_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2006-01352_M_R_N_F_S94_R2_001.fastq.gz
2007-00952	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2007-00952_M_R_N_F_S92_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2007-00952_M_R_N_F_S92_R2_001.fastq.gz
2008-01332	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2008-01332_M_R_N_F_S82_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2008-01332_M_R_N_F_S82_R2_001.fastq.gz
2008-02022	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2008-02022_M_R_N_F_S84_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2030_2008-02022_M_R_N_F_S84_R2_001.fastq.gz
2007-03112	s3://fh-pi-meshinchi-s/SR/SWOG/2100_2007-03112_M_R_N_F_S81_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2100_2007-03112_M_R_N_F_S81_R2_001.fastq.gz
2008-00742	s3://fh-pi-meshinchi-s/SR/SWOG/2100_2008-00742_M_R_N_F_S79_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/2100_2008-00742_M_R_N_F_S79_R2_001.fastq.gz
